Country,Country Code,Locality Name,Latitude,Longitude,Date,End of sampling,Duration(h.min),Iodine-131 (I-131) Concentration (Bq/m3),Caesium-134 (Cs-134) Concentration (Bq/m3),"Caesium-137 (radiocaesium, Cs-137) Concentration (Bq/m3)"
Sweden,22,STOCKHOLM,18.08,59.33,86/04/29,6:00,2.45,2.65,0.233,0.415
Sweden,22,STOCKHOLM,18.08,59.33,86/04/29,9:10,3.1,2.83,0.182,0.306
Sweden,22,STOCKHOLM,18.08,59.33,86/04/29,12:05,2.55,4.34,0.306,0.532
Sweden,22,STOCKHOLM,18.08,59.33,86/04/29,15:10,3.05,4.97,0.419,0.731
Sweden,22,STOCKHOLM,18.08,59.33,86/04/29,18:20,3.1,2.93,0.532,0.884
Sweden,22,STOCKHOLM,18.08,59.33,86/04/29,21:05,2.45,2.66,0.558,0.93
Sweden,22,STOCKHOLM,18.08,59.33,86/04/30,7:55,10.5,0.971,0.0286,0.0463
Sweden,22,STOCKHOLM,18.08,59.33,86/04/30,12:25,4.3,1.68,0.0546,0.0916
Sweden,22,STOCKHOLM,18.08,59.33,86/04/30,16:40,4.15,2.39,0.152,0.252
Sweden,22,STOCKHOLM,18.08,59.33,86/04/30,19:50,3.1,2.28,0.132,0.219
Sweden,22,STOCKHOLM,18.08,59.33,86/05/01,8:10,12.2,0.0733,0.00222,0.0033
Sweden,22,STOCKHOLM,18.08,59.33,86/05/01,19:35,11.25,0.0933,0.000854,0.00134
Sweden,22,STOCKHOLM,18.08,59.33,86/05/02,8:10,12.35,0.0585,0.000807,0.00109
Sweden,22,STOCKHOLM,18.08,59.33,86/05/02,17:55,10.05,0.042,0.000491,0.00083
Sweden,22,STOCKHOLM,18.08,59.33,86/05/03,8:15,14.2,0.0416,0.000281,0.00054
Sweden,22,STOCKHOLM,18.08,59.33,86/05/03,20:00,11.45,0.0632,0.00048,0.0007
Sweden,22,STOCKHOLM,18.08,59.33,86/05/04,8:30,12.3,0.0234,0.000218,0.000376
Sweden,22,STOCKHOLM,18.08,59.33,86/05/05,7:20,22.5,0.0912,0.0057,0.00924
Sweden,22,STOCKHOLM,18.08,59.33,86/05/05,11:15,3.55,0.174,0.014,0.0227
Sweden,22,STOCKHOLM,18.08,59.33,86/05/06,6:45,19.3,0.093,0.0053,0.00885
Sweden,22,STOCKHOLM,18.08,59.33,86/05/06,16:50,10.05,0.15,0.00346,0.00554
Sweden,22,STOCKHOLM,18.08,59.33,86/05/07,7:25,14.35,0.216,0.0029,0.00475
Sweden,22,STOCKHOLM,18.08,59.33,86/05/07,16:35,9.1,0.138,0.00477,0.00814
Sweden,22,STOCKHOLM,18.08,59.33,86/05/08,9:05,16.3,0.142,0.00692,0.0118
Sweden,22,STOCKHOLM,18.08,59.33,86/05/08,17:20,8.15,1.85,0.133,0.229
Sweden,22,STOCKHOLM,18.08,59.33,86/05/09,9:50,16.3,1.05,0.14,0.25
Sweden,22,STOCKHOLM,18.08,59.33,86/05/09,13:50,4.0,1.34,0.223,0.413
Sweden,22,STOCKHOLM,18.08,59.33,86/05/09,19:10,5.2,0.0547,0.00582,0.0104
Sweden,22,STOCKHOLM,18.08,59.33,86/05/10,9:25,29.2,0.0156,0.00157,0.00264
Sweden,22,STOCKHOLM,18.08,59.33,86/05/10,16:40,7.15,0.0139,0.000365,0.000692
Sweden,22,STOCKHOLM,18.08,59.33,86/05/11,10:50,18.1,0.00847,0.00058,0.00102
Sweden,22,STOCKHOLM,18.08,59.33,86/05/12,7:20,20.3,0.00969,0.00181,0.0032
Sweden,22,STOCKHOLM,18.08,59.33,86/05/12,16:30,9.1,0.00513,0.000654,0.000975
Sweden,22,STOCKHOLM,18.08,59.33,86/05/13,7:10,14.4,0.00291,0.000293,0.000409
Sweden,22,STOCKHOLM,18.08,59.33,86/05/13,17:20,10.1,0.00526,0.000741,0.00132
Sweden,22,STOCKHOLM,18.08,59.33,86/05/14,7:05,13.45,0.00698,0.000956,0.00162
Sweden,22,STOCKHOLM,18.08,59.33,86/05/15,7:08,24.03,0.00374,0.000385,0.000637
Sweden,22,STOCKHOLM,18.08,59.33,86/05/16,7:10,24.02,0.00331,0.000644,0.00112
Sweden,22,STOCKHOLM,18.08,59.33,86/05/17,12:20,29.1,0.00154,0.000491,0.000827
Sweden,22,STOCKHOLM,18.08,59.33,86/05/18,8:15,19.55,0.00135,0.000205,0.000361
Sweden,22,STOCKHOLM,18.08,59.33,86/05/19,11:38,27.23,0.0015,0.000633,0.00112
Sweden,22,STOCKHOLM,18.08,59.33,86/05/20,7:10,19.32,0.000972,0.000522,0.000893
Sweden,22,STOCKHOLM,18.08,59.33,86/05/21,7:10,24.0,0.0015,0.000855,0.00146
Sweden,22,STOCKHOLM,18.08,59.33,86/05/22,7:10,24.0,0.00216,0.00138,0.00236
Sweden,22,STOCKHOLM,18.08,59.33,86/05/23,7:10,24.0,0.00197,0.000969,0.00167
Sweden,22,STOCKHOLM,18.08,59.33,86/05/25,8:10,47.0,0.00176,0.00132,0.00232
Sweden,22,STOCKHOLM,18.08,59.33,86/05/26,11:20,27.1,0.000745,0.000701,0.00124
Sweden,22,STOCKHOLM,18.08,59.33,86/05/27,16:30,29.1,0.00102,0.0005,0.000877
Sweden,22,STOCKHOLM,18.08,59.33,86/05/28,15:20,22.5,0.000524,0.000451,0.000802
Sweden,22,STOCKHOLM,18.08,59.33,86/05/29,13:05,21.45,0.000534,0.000325,0.000575
Sweden,22,STOCKHOLM,18.08,59.33,86/05/30,7:10,18.05,0.000364,0.000173,0.000308
Sweden,22,STOCKHOLM,18.08,59.33,86/05/31,15:55,32.45,0.000338,0.000177,0.000324
Sweden,22,UMEAA,20.25,63.83,86/04/28,14:35,19.35,0.000367,0.000032,0.000068
Sweden,22,UMEAA,20.25,63.83,86/04/29,8:20,17.45,0.08,0.00873,0.0145
Sweden,22,UMEAA,20.25,63.83,86/04/29,18:40,2.05,0.708,0.00121,0.0022
Sweden,22,UMEAA,20.25,63.83,86/04/30,9:25,42.5,0.179,0.00422,0.00712
Sweden,22,UMEAA,20.25,63.83,86/04/30,16:35,1.55,0.0837,0.00135,0.0023
Sweden,22,UMEAA,20.25,63.83,86/05/01,13:55,4.15,1.11,0.06,0.102
Sweden,22,UMEAA,20.25,63.83,86/05/01,20:45,34.5,0.374,0.0243,0.0406
Sweden,22,UMEAA,20.25,63.83,86/05/02,20:00,4.0,0.227,0.00755,0.0128
Sweden,22,UMEAA,20.25,63.83,86/05/03,9:10,13.1,0.183,0.00967,0.016
Sweden,22,UMEAA,20.25,63.83,86/05/04,9:10,17.05,0.0538,0.00133,0.00223
Sweden,22,UMEAA,20.25,63.83,86/05/04,15:55,67.4,0.114,0.00724,0.0122
Sweden,22,UMEAA,20.25,63.83,86/05/05,9:10,17.15,0.047,0.00732,0.0123
Sweden,22,UMEAA,20.25,63.83,86/05/05,20:10,11.0,0.0459,0.00441,0.00742
Sweden,22,UMEAA,20.25,63.83,86/05/06,8:35,12.25,0.0701,0.00869,0.014
Sweden,22,UMEAA,20.25,63.83,86/05/07,8:45,24.1,0.0489,0.00552,0.00934
Sweden,22,UMEAA,20.25,63.83,86/05/08,9:05,24.2,0.0415,0.0109,0.0184
Sweden,22,UMEAA,20.25,63.83,86/05/09,9:15,24.1,0.0242,0.00433,0.00763
Sweden,22,UMEAA,20.25,63.83,86/05/10,9:15,24.0,0.107,0.0315,0.0563
Sweden,22,UMEAA,20.25,63.83,86/05/11,9:27,24.12,0.0104,0.00261,0.00446
Sweden,22,UMEAA,20.25,63.83,86/05/12,9:27,24.0,0.00766,0.000606,0.00109
Sweden,22,UMEAA,20.25,63.83,86/05/13,9:27,24.0,0.0151,0.00163,0.00286
Sweden,22,UMEAA,20.25,63.83,86/05/14,10:33,25.06,0.003,0.000386,0.000675
Sweden,22,UMEAA,20.25,63.83,86/05/15,9:42,23.09,0.00265,0.000839,0.00146
Sweden,22,UMEAA,20.25,63.83,86/05/16,8:40,23.58,0.00259,0.0011,0.00186
Sweden,22,UMEAA,20.25,63.83,86/05/17,9:10,24.3,0.00217,0.000462,0.00079
Sweden,22,UMEAA,20.25,63.83,86/05/18,9:05,23.55,0.00143,0.000651,0.00113
Sweden,22,UMEAA,20.25,63.83,86/05/19,9:20,24.15,0.00296,0.000685,0.00118
Sweden,22,UMEAA,20.25,63.83,86/05/20,9:15,23.55,0.00173,0.000827,0.00146
Sweden,22,UMEAA,20.25,63.83,86/05/21,9:15,24.0,0.000832,0.000604,0.00103
Sweden,22,UMEAA,20.25,63.83,86/05/22,9:25,24.1,0.00089,0.000582,0.001
Sweden,22,UMEAA,20.25,63.83,86/05/23,9:20,23.55,0.00116,0.000694,0.00121
Sweden,22,UMEAA,20.25,63.83,86/05/24,10:30,25.1,0.00134,0.00116,0.00204
Sweden,22,UMEAA,20.25,63.83,86/05/25,9:15,22.45,0.00185,0.00147,0.00261
Sweden,22,UMEAA,20.25,63.83,86/05/26,15:20,30.05,0.000948,0.000979,0.00174
Czech Republic,23,BRATISLAVA,48.17,17.17,86/05/02,5:00,24.0,4.9,1.3,N
Czech Republic,23,BRATISLAVA,48.17,17.17,86/05/04,5:00,24.0,5.5,1.2,N
Czech Republic,23,BRATISLAVA,48.17,17.17,86/05/06,5:00,24.0,0.34,0.047,1.1
Czech Republic,23,CESKE,48.97,14.43,86/05/07,5:00,24.0,1.14,0.252,0.3
Czech Republic,23,CESKE,48.97,14.43,86/05/09,5:00,24.0,0.088,0.004,0.1
Czech Republic,23,CESKE,48.97,14.43,86/05/11,5:00,24.0,0.06,0.002,N
Czech Republic,23,HRADEC,50.22,15.83,86/05/01,5:00,24.0,23.8,4.5,N
Czech Republic,23,HRADEC,50.22,15.83,86/05/03,5:00,24.0,0.4,0.01,N
Czech Republic,23,JASLOVSKE,48.5,17.45,86/05/03,5:00,24.0,0.441,0.077,0.53
Czech Republic,23,JASLOVSKE,48.5,17.45,86/05/05,5:00,24.0,0.882,0.231,0.02
Czech Republic,23,JASLOVSKE,48.5,17.45,86/05/07,5:00,24.0,0.773,0.135,<
Czech Republic,23,JASLOVSKE,48.5,17.45,86/05/09,5:00,24.0,0.123,0.06,<
Czech Republic,23,KOSICE,21.25,48.73,86/04/30,10:10,99.99,8.05,2.04,3.46
Czech Republic,23,KOSICE,21.25,48.73,86/05/01,4:10,18.0,3.7,0.386,0.67
Czech Republic,23,KOSICE,21.25,48.73,86/05/01,16:00,11.5,18.3,1.68,2.72
Czech Republic,23,KOSICE,21.25,48.73,86/05/02,4:00,12.0,0.452,0.129,0.211
Czech Republic,23,KOSICE,21.25,48.73,86/05/02,15:40,11.4,0.254,0.046,0.073
Czech Republic,23,KOSICE,21.25,48.73,86/05/03,14:20,22.4,0.247,0.033,0.054
Czech Republic,23,KOSICE,21.25,48.73,86/05/04,13:10,22.5,0.22,0.046,0.074
Czech Republic,23,KOSICE,21.25,48.73,86/05/05,13:30,24.2,0.179,0.04,0.067
Czech Republic,23,KOSICE,21.25,48.73,86/05/06,13:40,24.1,6.8,0.527,0.932
Czech Republic,23,KOSICE,21.25,48.73,86/05/07,13:10,23.3,2.57,0.456,0.803
Czech Republic,23,KOSICE,21.25,48.73,86/05/08,13:45,24.35,1.76,0.459,0.8
Czech Republic,23,KOSICE,21.25,48.73,86/05/09,13:00,23.15,0.962,0.371,0.637
Czech Republic,23,KOSICE,21.25,48.73,86/05/10,13:05,24.05,0.017,0.0016,0.0029
Czech Republic,23,KOSICE,21.25,48.73,86/05/11,12:20,23.15,0.03,0.0015,0.0022
Czech Republic,23,KOSICE,21.25,48.73,86/05/12,12:40,24.2,0.022,0.0006,0.0012
Czech Republic,23,KOSICE,21.25,48.73,86/05/13,13:00,24.2,0.035,0.0022,0.0042
Czech Republic,23,KOSICE,21.25,48.73,86/05/14,13:00,24.0,0.021,0.0014,0.0034
Czech Republic,23,KOSICE,21.25,48.73,86/05/15,13:00,24.0,0.025,0.0031,0.0061
Czech Republic,23,KOSICE,21.25,48.73,86/05/16,13:00,24.0,0.034,0.0031,0.0059
Czech Republic,23,KOSICE,21.25,48.73,86/05/17,12:30,23.3,0.0049,0.0009,0.0017
Czech Republic,23,KOSICE,21.25,48.73,86/05/18,12:35,24.05,0.0061,0.0006,0.0013
Czech Republic,23,KOSICE,21.25,48.73,86/05/19,12:10,24.35,0.0055,0.0013,0.0023
Czech Republic,23,KOSICE,21.25,48.73,86/05/21,11:40,47.3,0.0051,0.0008,0.0015
Czech Republic,23,KOSICE,21.25,48.73,86/05/23,11:25,47.45,0.0042,0.0008,0.0016
Czech Republic,23,KOSICE,21.25,48.73,86/05/26,11:05,71.4,0.0023,0.0011,0.0018
Czech Republic,23,KOSICE,21.25,48.73,86/05/28,7:30,44.25,0.0023,0.0009,0.0017
Czech Republic,23,KOSICE,21.25,48.73,86/05/30,5:30,46.0,0.0002,0.0006,0.0012
Hungary,24,BUDAPEST,19.1,47.5,86/04/29,8:00,24.0,0.0005,0,0.00005
Hungary,24,BUDAPEST,19.1,47.5,86/04/30,8:00,24.0,0.9,0.16,0.3
Hungary,24,BUDAPEST,19.1,47.5,86/05/01,8:00,24.0,1.9,0.3,0.65
Hungary,24,BUDAPEST,19.1,47.5,86/05/02,8:00,24.0,4.1,0.8,1.4
Hungary,24,BUDAPEST,19.1,47.5,86/05/03,8:00,24.0,0.75,0.13,0.26
Hungary,24,BUDAPEST,19.1,47.5,86/05/04,8:00,24.0,1.6,0.34,0.62
Hungary,24,BUDAPEST,19.1,47.5,86/05/05,8:00,24.0,0.42,0.05,0.09
Hungary,24,BUDAPEST,19.1,47.5,86/05/06,8:00,24.0,0.44,0.056,0.1
Hungary,24,BUDAPEST,19.1,47.5,86/05/07,8:00,24.0,3.7,0.58,1.2
Hungary,24,BUDAPEST,19.1,47.5,86/05/08,8:00,24.0,2.2,0.33,0.69
Hungary,24,BUDAPEST,19.1,47.5,86/05/09,8:00,24.0,0.75,0.14,0.29
Hungary,24,BUDAPEST,19.1,47.5,86/05/10,8:00,24.0,0.054,0.006,0.009
Hungary,24,BUDAPEST,19.1,47.5,86/05/11,8:00,24.0,0.051,0.006,0.01
